order_date,product_id,product_category,quantity_sold
3/05/2023,2686282,Hair Care,11
6/05/2023,2686282,Hair Care,11
9/05/2023,2686282,Hair Care,10
29/05/2023,2686282,Hair Care,13
1/06/2023,2686282,Hair Care,17
4/06/2023,2686282,Hair Care,24
7/06/2023,2686282,Hair Care,13
30/06/2023,2686282,Hair Care,25
3/07/2023,2686282,Hair Care,28
6/07/2023,2686282,Hair Care,26
9/07/2023,2686282,Hair Care,29
29/07/2023,2686282,Hair Care,9
1/08/2023,2686282,Hair Care,6
4/08/2023,2686282,Hair Care,7
7/08/2023,2686282,Hair Care,7
30/08/2023,2686282,Hair Care,11
2/09/2023,2686282,Hair Care,10
5/09/2023,2686282,Hair Care,38
28/09/2023,2686282,Hair Care,4
1/10/2023,2686282,Hair Care,10
4/10/2023,2686282,Hair Care,10
7/10/2023,2686282,Hair Care,3
27/10/2023,2686282,Hair Care,9
30/10/2023,2686282,Hair Care,19
2/11/2023,2686282,Hair Care,20
5/11/2023,2686282,Hair Care,15
28/11/2023,2686282,Hair Care,7
1/12/2023,2686282,Hair Care,10
4/12/2023,2686282,Hair Care,6
7/12/2023,2686282,Hair Care,10
27/12/2023,2686282,Hair Care,26
30/12/2023,2686282,Hair Care,29
14/01/2023,2696343,Cosmetics,4
20/01/2023,2696343,Cosmetics,1
23/01/2023,2696343,Cosmetics,4
15/02/2023,2696343,Cosmetics,14
18/02/2023,2696343,Cosmetics,9
21/02/2023,2696343,Cosmetics,14
16/03/2023,2696343,Cosmetics,13
19/03/2023,2696343,Cosmetics,10
22/03/2023,2696343,Cosmetics,5
25/03/2023,2696343,Cosmetics,82
14/04/2023,2696343,Cosmetics,30
17/04/2023,2696343,Cosmetics,16
20/04/2023,2696343,Cosmetics,7
23/04/2023,2696343,Cosmetics,10
16/05/2023,2696343,Cosmetics,76
19/05/2023,2696343,Cosmetics,53
22/05/2023,2696343,Cosmetics,55
25/05/2023,2696343,Cosmetics,36
14/06/2023,2696343,Cosmetics,11
17/06/2023,2696343,Cosmetics,6
20/06/2023,2696343,Cosmetics,11
23/06/2023,2696343,Cosmetics,33
16/07/2023,2696343,Cosmetics,7
19/07/2023,2696343,Cosmetics,10
22/07/2023,2696343,Cosmetics,11
14/08/2023,2696343,Cosmetics,49
17/08/2023,2696343,Cosmetics,14
20/08/2023,2696343,Cosmetics,13
23/08/2023,2696343,Cosmetics,11
12/09/2023,2696343,Cosmetics,60
15/09/2023,2696343,Cosmetics,51
18/09/2023,2696343,Cosmetics,45
21/09/2023,2696343,Cosmetics,58
14/10/2023,2696343,Cosmetics,14
17/10/2023,2696343,Cosmetics,26
20/10/2023,2696343,Cosmetics,21
23/10/2023,2696343,Cosmetics,21
12/11/2023,2696343,Cosmetics,28
15/11/2023,2696343,Cosmetics,59
18/11/2023,2696343,Cosmetics,64
21/11/2023,2696343,Cosmetics,61
14/12/2023,2696343,Cosmetics,15
17/12/2023,2696343,Cosmetics,17
20/12/2023,2696343,Cosmetics,15
2/01/2023,2696522,Hayfever,55
5/01/2023,2696522,Hayfever,42
8/01/2023,2696522,Hayfever,44
11/01/2023,2696522,Hayfever,45
31/01/2023,2696522,Hayfever,37
3/02/2023,2696522,Hayfever,39
6/02/2023,2696522,Hayfever,44
9/02/2023,2696522,Hayfever,30
4/03/2023,2696522,Hayfever,25
7/03/2023,2696522,Hayfever,34
10/03/2023,2696522,Hayfever,34
13/03/2023,2696522,Hayfever,26
2/04/2023,2696522,Hayfever,88
5/04/2023,2696522,Hayfever,40
8/04/2023,2696522,Hayfever,31
11/04/2023,2696522,Hayfever,55
4/05/2023,2696522,Hayfever,28
7/05/2023,2696522,Hayfever,34
10/05/2023,2696522,Hayfever,30
2/06/2023,2696522,Hayfever,22
5/06/2023,2696522,Hayfever,40
8/06/2023,2696522,Hayfever,21
11/06/2023,2696522,Hayfever,21
1/07/2023,2696522,Hayfever,23
4/07/2023,2696522,Hayfever,30
7/07/2023,2696522,Hayfever,19
10/07/2023,2696522,Hayfever,28
2/08/2023,2696522,Hayfever,42
5/08/2023,2696522,Hayfever,22
8/08/2023,2696522,Hayfever,38
31/08/2023,2696522,Hayfever,40
10/01/2023,2490971,Cold and Flu,26
13/01/2023,2490971,Cold and Flu,16
16/01/2023,2490971,Cold and Flu,19
8/02/2023,2490971,Cold and Flu,19
11/02/2023,2490971,Cold and Flu,12
14/02/2023,2490971,Cold and Flu,16
17/02/2023,2490971,Cold and Flu,15
9/03/2023,2490971,Cold and Flu,21
12/03/2023,2490971,Cold and Flu,15
15/03/2023,2490971,Cold and Flu,18
18/03/2023,2490971,Cold and Flu,16
10/04/2023,2490971,Cold and Flu,19
13/04/2023,2490971,Cold and Flu,16
16/04/2023,2490971,Cold and Flu,26
19/04/2023,2490971,Cold and Flu,33
9/05/2023,2490971,Cold and Flu,41
12/05/2023,2490971,Cold and Flu,29
15/05/2023,2490971,Cold and Flu,41
18/05/2023,2490971,Cold and Flu,41
10/06/2023,2490971,Cold and Flu,27
13/06/2023,2490971,Cold and Flu,28
16/06/2023,2490971,Cold and Flu,35
9/07/2023,2490971,Cold and Flu,35
12/07/2023,2490971,Cold and Flu,33
15/07/2023,2490971,Cold and Flu,17
18/07/2023,2490971,Cold and Flu,28
